Source=C#
Scan	Interpolated_NET	Aligned_NET
665	0.096432	0.096432
666	0.096528	0.096528
667	0.096623	0.096623
668	0.096719	0.096719
669	0.096814	0.096814
670	0.09691	0.09691
671	0.097006	0.097006
672	0.097101	0.097101
673	0.097197	0.097197
674	0.097293	0.097293
675	0.097388	0.097388
676	0.097484	0.097484
677	0.09758	0.09758
678	0.097675	0.097675
679	0.097771	0.097771
680	0.097867	0.097867
681	0.097962	0.097962
682	0.098058	0.098058
683	0.098153	0.098153
684	0.098249	0.098249
685	0.098345	0.098345
686	0.09844	0.09844
687	0.098536	0.098536
688	0.098632	0.098632
689	0.098727	0.098727
690	0.098823	0.098823
691	0.098919	0.098919
692	0.099014	0.099014
693	0.09911	0.09911
694	0.099206	0.099206
695	0.099301	0.099301
696	0.099397	0.099397
697	0.099492	0.099492
698	0.099588	0.099588
699	0.099684	0.099684
700	0.099779	0.099779
701	0.099875	0.099875
702	0.099971	0.099971
703	0.10007	0.10007
704	0.10016	0.10016
705	0.10026	0.10026
706	0.10035	0.10035
707	0.10045	0.10045
708	0.10054	0.10054
709	0.10064	0.10064
710	0.10074	0.10074
711	0.10083	0.10083
712	0.10093	0.10093
713	0.10102	0.10102
714	0.10112	0.10112
715	0.10121	0.10121
716	0.10131	0.10131
717	0.10141	0.10141
718	0.1015	0.1015
719	0.1016	0.1016
720	0.10169	0.10169
721	0.10179	0.10179
722	0.10188	0.10188
723	0.10198	0.10198
724	0.10207	0.10207
725	0.10217	0.10217
726	0.10227	0.10227
727	0.10236	0.10236
728	0.10246	0.10246
729	0.10255	0.10255
730	0.10265	0.10265
731	0.10274	0.10274
732	0.10284	0.10284
733	0.10294	0.10294
734	0.10303	0.10303
735	0.10313	0.10313
736	0.10322	0.10322
737	0.10332	0.10332
738	0.10341	0.10341
739	0.10351	0.10351
740	0.10361	0.10361
741	0.1037	0.1037
742	0.1038	0.1038
743	0.10389	0.10389
744	0.10399	0.10399
745	0.10408	0.10408
746	0.10418	0.10418
747	0.10427	0.10427
748	0.10437	0.10437
749	0.10447	0.10447
750	0.10456	0.10456
751	0.10466	0.10466
752	0.10475	0.10475
753	0.10485	0.10485
754	0.10494	0.10494
755	0.10504	0.10504
756	0.10514	0.10514
757	0.10523	0.10523
758	0.10533	0.10533
759	0.10542	0.10542
760	0.10552	0.10552
761	0.10561	0.10561
762	0.10571	0.10571
763	0.1058	0.1058
764	0.1059	0.1059
765	0.106	0.106
766	0.10609	0.10609
767	0.10619	0.10619
768	0.10628	0.10628
769	0.10638	0.10638
770	0.10647	0.10647
771	0.10657	0.10657
772	0.10667	0.10667
773	0.10676	0.10676
774	0.10686	0.10686
775	0.10695	0.10695
776	0.10705	0.10705
777	0.10714	0.10714
778	0.10724	0.10724
779	0.10734	0.10734
780	0.10743	0.10743
781	0.10753	0.10753
782	0.10762	0.10762
783	0.10772	0.10772
784	0.10781	0.10781
785	0.10791	0.10791
786	0.108	0.108
787	0.1081	0.1081
788	0.1082	0.1082
789	0.10829	0.10829
790	0.10839	0.10839
791	0.10848	0.10848
792	0.10858	0.10858
793	0.10867	0.10867
794	0.10877	0.10877
795	0.10887	0.10887
796	0.10896	0.10896
797	0.10906	0.10906
798	0.10915	0.10915
799	0.10925	0.10925
800	0.10934	0.10934
801	0.10944	0.10944
802	0.10953	0.10953
803	0.10963	0.10963
804	0.10973	0.10973
805	0.10982	0.10982
806	0.10992	0.10992
807	0.11001	0.11001
808	0.11011	0.11011
809	0.1102	0.1102
810	0.1103	0.1103
811	0.1104	0.1104
812	0.11049	0.11049
813	0.11059	0.11059
814	0.11068	0.11068
815	0.11078	0.11078
816	0.11087	0.11087
817	0.11097	0.11097
818	0.11107	0.11107
819	0.11116	0.11116
820	0.11126	0.11126
821	0.11135	0.11135
822	0.11145	0.11145
823	0.11154	0.11154
824	0.11164	0.11164
825	0.11173	0.11173
826	0.11183	0.11183
827	0.11193	0.11193
