Source=C#
UMCIndex	UMCNET	AlignedMass
693	0.22399	438.91
694	0.22146	439.23
695	0.23944	439.71
696	0.2622	440.21
697	0.26694	441.27
698	0.28747	441.72
699	0.24781	441.75
700	0.18799	441.75
701	0.19725	442.21
702	0.14958	442.21
703	0.15557	442.25
704	0.2148	442.27
705	0.23701	442.75
706	0.20341	442.75
707	0.13708	442.88
708	0.28325	443.17
709	0.22227	443.21
710	0.21292	443.22
711	0.23804	443.24
712	0.1683	443.26
713	0.1891	443.29
714	0.18469	443.29
715	0.24623	443.73
716	0.13801	443.74
717	0.30349	443.74
718	0.29117	443.91
719	0.28192	444.14
720	0.19086	444.72
721	0.31965	444.75
722	0.13749	444.91
723	0.16313	445.24
724	0.19554	445.25
725	0.18675	445.71
726	0.32038	445.74
727	0.21689	445.88
728	0.13802	445.91
729	0.15948	446.23
730	0.23998	446.23
731	0.32417	446.25
732	0.30645	446.26
733	0.16849	446.71
734	0.20426	446.91
735	0.35856	447.57
736	0.79495	448.14
737	0.32925	448.24
738	0.1901	448.24
739	0.25737	448.24
740	0.2661	448.71
741	0.14213	448.75
742	0.18802	448.75
743	0.21987	449.74
744	0.18394	449.74
745	0.23416	449.76
746	0.26686	449.76
747	0.31675	450.23
748	0.24401	450.24
749	0.20662	450.24
750	0.23266	450.9
751	0.21419	450.9
752	0.33436	451.24
753	0.23144	451.75
754	0.31139	451.9
755	0.16279	451.9
756	0.20318	452.22
757	0.21934	452.22
758	0.30749	452.25
759	0.23631	452.73
760	0.28421	452.75
761	0.27169	453.11
762	0.16612	453.21
763	0.2628	453.74
764	0.37583	453.75
765	0.16587	453.88
766	0.21464	454.25
767	0.14913	454.29
768	0.15584	454.72
769	0.16787	454.74
770	0.37701	454.75
771	0.24513	455.23
772	0.18218	455.24
773	0.21396	455.76
774	0.18358	455.88
775	0.20597	456.19
776	0.1411	456.2
777	0.14997	456.22
778	0.21832	456.24
779	0.20653	456.76
780	0.26883	456.77
781	0.18198	456.88
782	0.18875	457.23
783	0.25817	457.27
784	0.20662	457.3
785	0.18956	457.3
786	0.1974	457.72
787	0.24695	457.74
788	0.25671	457.75
789	0.30087	457.75
790	0.18424	458.2
791	0.21816	458.25
792	0.26151	458.25
793	0.18945	458.26
794	0.24695	458.27
795	0.37809	458.31
796	0.14401	458.75
797	0.24688	458.75
798	0.20097	459.16
799	0.13535	459.23
800	0.23272	459.27
801	0.1683	459.31
802	0.37787	459.31
803	0.18945	459.74
804	0.26209	459.75
805	0.18984	460.73
806	0.28925	461.23
807	0.29726	461.23
808	0.23491	461.26
809	0.20638	461.75
810	0.23562	462.27
811	0.20246	462.87
812	0.3171	462.89
813	0.22851	463.25
814	0.23894	463.25
815	0.2366	463.56
816	0.27317	463.75
817	0.25852	463.75
818	0.20071	463.76
819	0.21059	463.76
820	0.16894	464.23
821	0.18675	464.24
822	0.1641	464.26
823	0.20597	464.26
824	0.23643	464.26
825	0.29979	464.27
826	0.25878	464.74
827	0.18663	464.74
828	0.31986	464.75
829	0.16769	464.76
830	0.16825	464.9
831	0.26437	465.76
832	0.20416	466.22
833	0.37831	466.23
834	0.27944	467.24
835	0.28669	467.26
836	0.20166	467.74
837	0.24485	468.21
838	0.28296	468.23
839	0.41298	468.24
840	0.1647	468.71
841	0.21799	468.72
842	0.28529	468.75
843	0.2197	468.89
844	0.16241	469.29
845	0.17638	469.33
846	0.15123	469.71
847	0.16545	469.76
848	0.31965	470.21
849	0.67531	470.3
850	0.26426	470.73
851	0.28192	470.74
852	0.26464	470.78
853	0.31745	471.25
854	0.19131	471.26
855	0.18911	471.34
856	0.17548	472.26
857	0.38452	472.29
858	0.22291	473.22
859	0.20203	473.23
860	0.2028	473.26
861	0.13635	473.75
862	0.20375	473.75
863	0.25346	474.23
864	0.22032	474.26
865	0.27152	474.75
866	0.27163	474.9
867	0.41244	475.21
868	0.25318	475.23
869	0.24716	475.3
870	0.18172	475.74
871	0.23471	476.2
872	0.32951	476.23
873	0.41309	476.3
874	0.33855	476.74
875	0.23876	476.75
876	0.26944	476.77
877	0.33801	477.79
878	0.21425	478.24
879	0.20662	478.25
880	0.29349	478.28
881	0.14175	478.74
882	0.29076	478.77
883	0.26132	478.77
884	0.12981	478.87
885	0.38292	479.22
886	0.17266	479.76
887	0.2528	479.77
888	0.29434	479.94
889	0.20071	480.26
890	0.16464	480.73
891	0.2904	480.79
892	0.20662	481.24
893	0.17082	481.73
894	0.2149	482.25
895	0.16818	482.75
896	0.36818	483.25
897	0.29565	483.74
898	0.27359	484.28
899	0.23145	484.76
900	0.18993	484.8
901	0.22392	485.26
902	0.214	485.36
903	0.36056	485.58
904	0.19428	485.74
905	0.22577	485.75
906	0.25102	486.23
907	0.61242	486.37
908	0.24135	487.25
909	0.19428	487.25
910	0.11311	487.89
911	0.2418	488.25
912	0.44137	488.3
913	0.24924	488.75
914	0.20893	488.75
915	0.27881	488.91
916	0.30349	489.24
917	0.16152	489.25
918	0.27775	489.26
919	0.17855	489.26
920	0.20625	489.75
921	0.52342	489.79
922	0.18814	490.73
923	0.34151	490.79
924	0.30825	491.22
925	0.25414	491.27
926	0.20947	491.28
927	0.20341	491.57
928	0.25826	491.74
929	0.19755	491.74
930	0.3409	491.79
931	0.22207	492.27
932	0.22067	492.27
933	0.25301	492.28
934	0.20663	492.76
935	0.22285	492.77
936	0.24105	492.8
937	0.25414	492.9
938	0.27139	493.25
939	0.30651	493.28
940	0.2181	493.28
941	0.28518	493.76
942	0.22399	493.79
943	0.22568	493.92
944	0.22851	494.22
945	0.31928	494.27
946	0.34768	494.27
947	0.24815	494.28
948	0.16922	494.77
949	0.3334	494.77
950	0.30399	494.78
951	0.25782	495.76
952	0.33748	495.77
953	0.23611	495.77
954	0.29162	495.91
955	0.31811	496.58
956	0.15304	498.24
957	0.28214	498.78
958	0.33152	498.94
959	0.23835	499.3
960	0.23506	500.33
961	0.18303	500.33
962	0.22433	500.78
963	0.27444	501.28
964	0.24279	501.5
965	0.26375	502.3
966	0.24322	502.31
967	0.16556	503.23
968	0.26548	503.76
969	0.29187	503.76
970	0.23366	504.23
971	0.2628	504.24
972	0.28615	504.29
973	0.51758	504.33
974	0.21425	505.26
975	0.21684	505.26
976	0.3316	505.29
977	0.22296	505.3
978	0.24332	505.33
979	0.19852	505.73
980	0.18984	506.3
981	0.21984	506.76
982	0.19136	506.77
983	0.29078	506.94
984	0.28652	507.24
985	0.25953	507.25
986	0.21435	507.25
987	0.20947	507.27
988	0.25494	507.59
989	0.2172	507.76
990	0.26428	507.78
991	0.21667	507.78
992	0.34436	507.94
993	0.16231	508.56
994	0.33485	508.78
995	0.34568	508.94
996	0.25817	509.76
997	0.18318	509.78
998	0.18297	509.93
999	0.25737	510.75
1000	0.16087	510.75
1001	0.20922	511.25
1002	0.20735	511.55
1003	0.37309	511.96
1004	0.25702	512.33
1005	0.29503	512.79
1006	0.33748	513.22
1007	0.31417	513.35
1008	0.42065	513.35
1009	0.23213	514.26
1010	0.17119	514.28
1011	0.28302	514.32
1012	0.1757	514.76
1013	0.36178	514.79
1014	0.34725	515.21
1015	0.17097	515.26
1016	0.17058	515.3
1017	0.18505	515.31
1018	0.19852	515.74
1019	0.30109	515.76
1020	0.21742	515.77
1021	0.21087	515.77
1022	0.19126	516.24
1023	0.17476	516.25
1024	0.23049	516.26
1025	0.25429	516.33
1026	0.20481	516.76
1027	0.25757	516.76
1028	0.13713	516.78
1029	0.28619	516.78
1030	0.37787	517.28
1031	0.18739	517.3
1032	0.37744	517.79
1033	0.29117	518.27
1034	0.32274	518.95
1035	0.25801	519.25
1036	0.26364	519.33
1037	0.20146	519.76
1038	0.31789	519.77
1039	0.25864	521.29
1040	0.55144	522.11
1041	0.15688	522.24
1042	0.27014	522.79
1043	0.31275	522.8
1044	0.30001	523.79
1045	0.30931	524.76
1046	0.24233	524.77
1047	0.13926	525.95
1048	0.24332	526.25
1049	0.23566	526.25
1050	0.27381	526.78
1051	0.27329	526.95
1052	0.26619	527.3
1053	0.30579	527.31
1054	0.28338	527.76
1055	0.41103	527.83
1056	0.30675	527.93
1057	0.18505	528.27
1058	0.16556	528.36
1059	0.16922	529.27
1060	0.29089	529.76
1061	0.18752	529.77
1062	0.28485	529.78
1063	0.18705	529.95
1064	0.23552	530.27
1065	0.20653	530.34
1066	0.15615	531.26
1067	0.23301	531.27
1068	0.20589	531.35
1069	0.21037	531.94
1070	0.23423	533.24
1071	0.39071	533.93
1072	0.34892	534.65
1073	0.2028	534.75
1074	0.25839	534.79
1075	0.31006	534.79
1076	0.22894	535.29
1077	0.20947	535.76
1078	0.36534	535.81
1079	0.4926	536.79
1080	0.31034	536.8
1081	0.22324	537.28
1082	0.37917	537.8
1083	0.29272	538.5
1084	0.16775	538.77
1085	0.23189	538.8
1086	0.39276	538.81
1087	0.20562	539.76
1088	0.26694	539.77
1089	0.31789	539.96
1090	0.26921	540.21
1091	0.33041	540.61
1092	0.27302	541.78
1093	0.37546	541.79
1094	0.25145	541.8
1095	0.30411	542.26
1096	0.24686	542.27
1097	0.33358	542.27
1098	0.30702	542.82
1099	0.12673	543.29
1100	0.34161	543.72
1101	0.12673	543.75
1102	0.20759	544.28
1103	0.35743	544.28
1104	0.19553	544.3
1105	0.29461	545.26
1106	0.2477	545.28
1107	0.34161	545.64
1108	0.18307	546.32
1109	0.2786	546.33
1110	0.22588	546.74
1111	0.27815	547.33
1112	0.20873	547.76
1113	0.1856	547.82
1114	0.31876	547.96
1115	0.31368	548.31
1116	0.23576	548.33
1117	0.27289	548.78
1118	0.34568	548.79
1119	0.24468	548.8
1120	0.23961	549.33
1121	0.16602	549.33
1122	0.27595	549.79
1123	0.24026	549.79
1124	0.28431	549.81
1125	0.32951	549.82
1126	0.74699	550.1
1127	0.23988	550.31
1128	0.25478	550.81
1129	0.25478	552.29
1130	0.32271	553.25
1131	0.38042	553.26
1132	0.33496	553.26
1133	0.40034	553.26
1134	0.21855	553.3
1135	0.26008	553.77
1136	0.26558	554.24
1137	0.36432	554.77
1138	0.25686	555.32
1139	0.24176	555.33
1140	0.29058	555.76
1141	0.2673	555.8
1142	0.21984	556.3
1143	0.30527	556.76
1144	0.17045	556.78
1145	0.24343	556.95
1146	0.22171	557.24
1147	0.30633	557.25
1148	0.25939	557.27
1149	0.28861	557.29
1150	0.23272	557.79
1151	0.28767	557.8
1152	0.21391	558.29
1153	0.20658	558.34
1154	0.20947	558.35
1155	0.16825	558.37
1156	0.30338	559.28
1157	0.24084	559.28
1158	0.18447	559.3
