Source=C#
Scan	Interpolated_NET	Aligned_NET
1577	0.070883	
1578	0.0709	
1579	0.070917	
1580	0.070933	
1581	0.07095	
1582	0.070966	
1583	0.070983	
1584	0.071	
1585	0.071016	
1586	0.071033	
1587	0.07105	
1588	0.071066	
1589	0.071083	
1590	0.071099	
1591	0.071116	
1592	0.071133	
1593	0.071149	
1594	0.071166	
1595	0.071183	
1596	0.071199	
1597	0.071216	
1598	0.071233	
1599	0.071249	
1600	0.071266	
1601	0.071282	
1602	0.071299	
1603	0.071316	
1604	0.071332	
1605	0.071349	
1606	0.071366	
1607	0.071382	
1608	0.071399	
1609	0.071416	
1610	0.071432	
1611	0.071449	
1612	0.071465	
1613	0.071482	
1614	0.071499	
1615	0.071515	
1616	0.071532	
1617	0.071549	
1618	0.071565	
1619	0.071582	
1620	0.071598	
1621	0.071615	
1622	0.071632	
1623	0.071648	
1624	0.071665	
1625	0.071682	
1626	0.071698	
1627	0.071715	
1628	0.071732	
1629	0.071748	
1630	0.071765	
1631	0.071781	
1632	0.071798	
1633	0.071815	
1634	0.071831	
1635	0.071848	
1636	0.071865	
1637	0.071881	
1638	0.071898	
1639	0.071915	
1640	0.071931	
1641	0.071948	
1642	0.071964	
1643	0.071981	
1644	0.071998	
1645	0.072014	
1646	0.072031	
1647	0.072048	
1648	0.072064	
1649	0.072081	
1650	0.072097	
1651	0.072114	
1652	0.072131	
1653	0.072147	
1654	0.072164	
